"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
41,Sun  09 Jun 2024 12:15:13 +0000,"20240609.1214.001","Sippican Fast-Deep XBT","release","NaN","Shingle_station_2","NaN"," 37.595628"," -72.968801","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240609.1214.001","20240609.1205","2024/06/09 12:05:15","2024-06-09T12:05:13+00:00"," & Sun Jun  9 12:15:28 2024 & Sun Jun  9 14:06:25 2024"
42,Sun  09 Jun 2024 12:16:09 +0000,"20240609.1215.001","Sippican Fast-Deep XBT","release","NaN","Shingle_station_1","NaN"," 37.498047"," -73.045515","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240609.1215.001","20240609.1109","2024/06/09 11:09:10","2024-06-09T11:09:09+00:00"," & Sun Jun  9 12:16:33 2024 & Sun Jun  9 14:06:14 2024"
43,Sun  09 Jun 2024 13:06:38 +0000,"20240609.1306.001","Sippican Fast-Deep XBT","release",,"Shingle_station_3",," 37.705855"," -72.880979","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,,"RR2407-SE-20240609.1306.001","20240609.1306","2024/06/09 13:06:40","2024-06-09T13:06:38+00:00"," & Sun Jun  9 13:11:54 2024 & Sun Jun  9 14:06:02 2024"
44,Sun  09 Jun 2024 14:05:28 +0000,"20240609.1405.001","Sippican Fast-Deep XBT","release","NaN","Shingle_station_4","NaN"," 37.804403"," -72.807150","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","20240609.1405.001","20240609.1400","2024/06/09 14:00:30","2024-06-09T14:00:28+00:00"," & Sun Jun  9 14:05:46 2024"
45,Sun  09 Jun 2024 14:55:18 +0000,"20240609.1455.001","Sippican Fast-Deep XBT","release",,"Shingle_station_5",," 37.903188"," -72.730745","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,,"RR2407-SE-20240609.1455.001","20240609.1455","2024/06/09 14:55:20","2024-06-09T14:55:18+00:00"," & Sun Jun  9 15:01:25 2024"
46,Sun  09 Jun 2024 15:02:19 +0000,"20240609.1502.001","Sippican Fast-Deep XBT","other",,"Shingle_station_5",," 37.899483"," -72.732322","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1","Bad XBT aborted",,"RR2407-SE-20240609.1502.001","20240609.1453","2024/06/09 14:53:20","2024-06-09T14:53:19+00:00"," & Sun Jun  9 15:02:54 2024"
50,Sun  09 Jun 2024 17:22:07 +0000,"20240609.1721.001","Sippican Fast-Deep XBT","other","NaN","Shingle_station_7","NaN"," 38.097434"," -72.580475","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1","Bad XBT aborted","RR2407","20240609.1721.001","20240609.1722","2024/06/09 17:22:05","2024-06-09T17:22:07+00:00"," & Sun Jun  9 17:22:59 2024"
51,Sun  09 Jun 2024 17:26:20 +0000,"20240609.1726.001","Sippican Fast-Deep XBT","release","NaN","Shingle_station_7","NaN"," 38.104578"," -72.574602","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,"RR2407","RR2407-SE-20240609.1726.001","20240609.1726","2024/06/09 17:26:19","2024-06-09T17:26:20+00:00",
52,Sun  09 Jun 2024 18:25:02 +0000,"20240609.1825.001","Sippican Fast-Deep XBT","release",,"Shingle_station_8",," 38.200912"," -72.501076","No instruments found in /shipdata/cruise_cfg/current_cfg","sPrabhu1",,,"RR2407-SE-20240609.1825.001","20240609.1825","2024/06/09 18:25:01","2024-06-09T18:25:02+00:00"," & Sun Jun  9 18:29:14 2024"
56,Sun  09 Jun 2024 20:00:19 +0000,"20240609.2000.001","Sippican Fast-Deep XBT","release","NaN","Shingle_Station_10","NaN"," 38.300692"," -72.424930","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240609.2000.001","20240609.2000","2024/06/09 20:00:21","2024-06-09T20:00:19+00:00"," & Sun Jun  9 20:22:31 2024"
57,Sun  09 Jun 2024 21:00:42 +0000,"20240609.2100.001","Sippican Fast-Deep XBT","release","NaN","Shingle_Station_11","NaN"," 38.399921"," -72.347900","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240609.2100.001","20240609.2100","2024/06/09 21:00:41","2024-06-09T21:00:42+00:00"," & Sun Jun  9 21:06:32 2024"
64,Mon  10 Jun 2024 00:28:30 +0000,"20240610.0028.001","Sippican Fast-Deep XBT","release","NaN","Shingle_Station_13","NaN"," 38.603068"," -72.235515","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel","XBT Deep Blue used. All prior XBT = Fast, all following XBT = Deep Blue",,"RR2407-SE-20240610.0028.001","20240610.0028","2024/06/10 00:28:12","2024-06-10T00:28:10+00:00"," & Mon Jun 10 00:37:32 2024 & Mon Jun 10 00:38:30 2024"
65,Mon  10 Jun 2024 01:17:04 +0000,"20240610.0117.001","Sippican Fast-Deep XBT","other","NaN","Shingle_Station_14","NaN"," 38.702184"," -72.200383","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel","Bad XBT, aborted",,"RR2407-SE-20240610.0117.001","20240610.0117","2024/06/10 01:17:03","2024-06-10T01:17:04+00:00"," & Mon Jun 10 02:38:09 2024 & Mon Jun 10 02:42:49 2024"
66,Mon  10 Jun 2024 01:20:29 +0000,"20240610.0120.001","Sippican Fast-Deep XBT","release","NaN","Shingle_Station_14","NaN"," 38.709055"," -72.197762","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240610.0120.001","20240610.0120","2024/06/10 01:20:28","2024-06-10T01:20:29+00:00"," & Mon Jun 10 02:38:55 2024 & Mon Jun 10 02:42:27 2024 & Mon Jun 10 02:42:33 2024"
67,Mon  10 Jun 2024 02:33:07 +0000,"20240610.0233.001","Sippican Fast-Deep XBT","release","NaN","Shingle_Station_15","NaN"," 38.801181"," -72.166385","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240610.0233.001","20240610.0233","2024/06/10 02:33:08","2024-06-10T02:33:07+00:00"," & Mon Jun 10 02:39:28 2024 & Mon Jun 10 02:41:56 2024"
68,Mon  10 Jun 2024 03:23:38 +0000,"20240610.0323.001","Sippican Fast-Deep XBT","release","NaN","Shingle_Station_16","NaN"," 38.900288"," -72.131139","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240610.0323.001","20240610.0323","2024/06/10 03:23:38","2024-06-10T03:23:38+00:00"," & Mon Jun 10 03:29:22 2024"
69,Mon  10 Jun 2024 04:11:54 +0000,"20240610.0411.001","Sippican Fast-Deep XBT","release","NaN","Shingle_Station_17","NaN"," 38.998825"," -72.095570","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel",,,"RR2407-SE-20240610.0411.001","20240610.0411","2024/06/10 04:11:53","2024-06-10T04:11:54+00:00"," & Mon Jun 10 04:16:21 2024"
